Error Code,Error Description
5151,Do not enter the leading 'N' when entering FAA N-Number.
5155,N Number cannot be greater than 8 characters.
5160,License cannot be both Fleet and Portable.
5165,The total number of aircrafts in fleet must be greater than 1.
5170,The Assignor/Transferor Contact Individual Name (first and last name) and/or the Attention To is required.
5175,The Assignee/Transferee Contact Individual Name (first and last name) and/or Attention To is required
5180,The Assignor/Transferor Contact P.O. Box and/or the Street Address is required.
5184,The Assignor/Transferor Entity Name is required.
5185,The Assignee/Transferee Contact P.O. Box and/or the Street Address is required.
5190,There is an invalid Assignor/Transferor Contact State and Zip Code combination.
5195,There is an invalid Assignee/Transferee Contact State and Zip Code combination.
5197,The Assignee/Transferee Attention To is required.
5200,The Licensee Individual Name (first and last name) is required.
5205,The Assignor/Transferor Individual Name (first and last name) is required.
5210,The Assignee/Transferee Individual Name (first and last name) is required.
5215,Location number is required.
5220,Location number is invalid.
5225,Frequency range is invalid.
5230,Auctionable call signs cannot be partially assigned.
5235,Partial assignment upper frequency cannot be less than lower frequency.
5240,Partial assignment upper frequency cannot be specified without lower frequency.
5245,At least one Call Sign must be selected for a full/partial assignment or transfer of control.
5250,Assignee/Transferee FRN cannot be the same as Assignor/Transferor FRN for non-pro forma applications.
5255,Assignee/Transferee FRN is required.
5260,Combination of type of operation code and station class is invalid for this radio service.
5265,"An answer to the 'Cumulative Mod' question is required for Modification applications, Renew Modification applications, and Amendments of currently pending applications."
5270,Tolerance is required and must be between 0.00001 and 0.05 percent.
5275,Transmitter Power EIRP is required and must be between -20 and +85.
5280,A valid emission designator is required and must be valid for entered frequencies.
5285,Digital Modulation Rate is required and must be valid for entered frequencies.
5290,Digital Modulation Type is required and must be valid for entered frequencies.
5295,Transmitter Manufacturer is required.
5300,Transmitter Model is required.
5305,Automatic Transmitter Power Control is required (Yes or No).
5310,A user assigned passive repeater sequence number is required.
5315,Upper frequency must be higher than lower/center frequency.
5320,Lower/center frequency is not valid for radio service code.
5325,Frequency range is not valid for radio service code.
5330,Bandwidth portion of emission designator cannot contain spaces or decimals.
5335,Emission code portion of emission designator cannot contain spaces.
5340,Bandwidth portion of emission designator must contain one alpha character.
5345,The first character of the bandwidth must be 'H' or '1' through '9'.
5350,"Bandwidth portion of emission designator cannot contain alphanumeric characters other than H,K,M, or G."
5360,Path requires a matching path with valid path type code.
5365,At least one path requiring a matching path is missing its pair.
5370,Answer to 'Is there an associated parent station' is required.
5375,The Fee Control Number must contain only numeric values and cannot be less than 16 digits.
5380,At least one frequency is required for each path.
5385,Emission code is invalid.
5390,The Tower registration number/file number entered is either invalid or not current.
5391,Upload attempt unsuccessful due to file errors. Click the Help link on the Upload Coordinates page for File Format instructions.
5395,Latitude coordinates cannot differ by more than 1 second from the latitude on record for the specified Antenna Structure.  Modification by more than 1 second requires a new FAA study and modification of the Antenna Structure Registration.
5400,Longitude coordinates cannot differ by more than 1 second from the longitude on record for the specified Antenna Structure.  Modification by more than 1 second requires a new FAA study and modification of the Antenna Structure Registration.
5405,Ground elevation cannot differ by more than plus 0.5 meters/minus 3 meters from that on record for the specified structure.  Modification in excess of these tolerances requires a new FAA study and modification of the Antenna Structure Registration.
5410,Overall height AGL without appurtenances cannot exceed overall height AGL with appurtenances.
5415,Overall height with appurtenances cannot differ by more than 0.3 meters from the data on record for the specified Antenna Structure.  Modification by 0.3 meters or more requires a new FAA study and modification of the Antenna Structure Registration.
5420,Receiver Call Sign is required.
5425,This structure appears to require registration with the FCC.  The structure owner must obtain FAA clearance and file FCC Form 854 to register the structure.
5430,This structure appears to require registration with the FCC.  The structure owner must obtain FAA clearance and file FCC Form 854 to register the structure.
5435,Tolerance exceeds maximum allowed for radio service code and frequency.
5440,Power eirp exceeds maximum allowed for for radio service code and frequency.
5445,Transmitter antenna height to center cannot exceed location overall structure height.
5450,Diversity antenna height cannot exceed location overall structure height.
5455,A Fixed Point-to-Point license requires at least 1 receiver location.
5460,This new application cannot be submitted until the pending applications have been resolved.
5465,"You may continue submitting, but you should verify that all proposed changes to your license in this application are consistent with any previously filed and still pending application."
